Date,Open,High,Low,Close*,Adj Close**,Volume
22/02/2024,38845.19,39148.3,38802.1,39069.11,39069.11,324781010
21/02/2024,38483.66,38618.03,38338.58,38612.24,38612.24,279510000
20/02/2024,38576.26,38663.09,38460.2,38563.8,38563.8,335990000
16/02/2024,38751.71,38825.03,38583.24,38627.99,38627.99,282210000
15/02/2024,38397.94,38781.89,38397.94,38773.12,38773.12,303840000
14/02/2024,38372.67,38442.56,38194.62,38424.27,38424.27,274610000
13/02/2024,38699.17,38699.17,38039.86,38272.75,38272.75,318390000
12/02/2024,38656.76,38927.08,38628.92,38797.38,38797.38,273020000
9/02/2024,38731.97,38734.28,38567.9,38671.69,38671.69,299970000
8/02/2024,38702.11,38755.68,38544.36,38726.33,38726.33,315510000
7/02/2024,38613.89,38748.11,38571.01,38677.36,38677.36,302210000
6/02/2024,38392.9,38545.28,38350.46,38521.36,38521.36,276140000
5/02/2024,38546.77,38633.88,38220.4,38380.12,38380.12,322290000
2/02/2024,38448.1,38783.62,38336.57,38654.42,38654.42,379760000
1/02/2024,38175.34,38522.5,38106.84,38519.84,38519.84,321830000
31/01/2024,38426.78,38588.86,38139.66,38150.3,38150.3,453250000
30/01/2024,38298.23,38497.39,38257.8,38467.31,38467.31,326640000
29/01/2024,38115.83,38343.93,38061.17,38333.45,38333.45,312480000
26/01/2024,38006.68,38215.31,37997.77,38109.43,38109.43,387000000
25/01/2024,37862.57,38057.53,37796.47,38049.13,38049.13,402970000
24/01/2024,37975.37,38064.22,37795.71,37806.39,37806.39,336090000
23/01/2024,37959.79,37980.73,37804.99,37905.45,37905.45,334110000
22/01/2024,37919.55,38109.2,37911.61,38001.81,38001.81,339560000
19/01/2024,37572.5,37933.73,37451.71,37863.8,37863.8,377650000
18/01/2024,37300.81,37522.29,37122.95,37468.61,37468.61,340620000
17/01/2024,37281.86,37371.66,37132.89,37266.67,37266.67,290880000
16/01/2024,37493.54,37543.18,37201.39,37361.12,37361.12,378280000
12/01/2024,37818.05,37825.27,37470.19,37592.98,37592.98,279250000
11/01/2024,37747.14,37801.9,37424.28,37711.02,37711.02,299540000
10/01/2024,37552.91,37740.77,37524.4,37695.73,37695.73,279540000
9/01/2024,37523.55,37552.38,37373.3,37525.16,37525.16,289860000
8/01/2024,37327.37,37692.92,37249.24,37683.01,37683.01,362200000
5/01/2024,37455.46,37623.62,37323.82,37466.11,37466.11,299480000
4/01/2024,37425.28,37716.41,37425.28,37440.34,37440.34,380220000
3/01/2024,37629.23,37629.23,37401.85,37430.19,37430.19,322010000
2/01/2024,37566.22,37790.08,37495.91,37715.04,37715.04,350280000
29/12/2023,37701.63,37759.43,37538.8,37689.54,37689.54,234570000
28/12/2023,37661.52,37778.85,37650.98,37710.1,37710.1,199550000
27/12/2023,37518.62,37683.7,37488.6,37656.52,37656.52,245530000
26/12/2023,37405.9,37617.99,37371.83,37545.33,37545.33,212420000
22/12/2023,37349.27,37534.52,37268.88,37385.97,37385.97,252970000
21/12/2023,37225.32,37418.76,37127.05,37404.35,37404.35,253120000
20/12/2023,37520.13,37641.3,37073.04,37082,37082,303450000
19/12/2023,37311.82,37562.83,37311.82,37557.92,37557.92,272740000
